timestamp,ecg,pnum,condition
1671250009.216,752,5,baseline1
1671250009.968,785,5,baseline1
1671250010.753,801,5,baseline1
1671250011.554,788,5,baseline1
1671250012.342,750,5,baseline1
1671250013.092,764,5,baseline1
1671250013.856,792,5,baseline1
1671250014.648,810,5,baseline1
1671250015.458,749,5,baseline1
1671250016.207,732,5,baseline1
1671250016.939,752,5,baseline1
1671250017.691,776,5,baseline1
1671250018.467,769,5,baseline1
1671250019.236,729,5,baseline1
1671250019.965,735,5,baseline1
1671250020.7,790,5,baseline1
1671250021.49,814,5,baseline1
1671250022.304,782,5,baseline1
1671250023.086,749,5,baseline1
1671250023.835,766,5,baseline1
1671250024.601,786,5,baseline1
1671250025.387,789,5,baseline1
1671250026.176,751,5,baseline1
1671250026.927,769,5,baseline1
1671250027.696,818,5,baseline1
1671250028.514,841,5,baseline1
1671250029.355,791,5,baseline1
1671250030.146,758,5,baseline1
1671250030.904,783,5,baseline1
1671250031.687,806,5,baseline1
1671250032.493,815,5,baseline1
1671250033.308,776,5,baseline1
1671250034.084,761,5,baseline1
1671250034.845,811,5,baseline1
1671250035.656,820,5,baseline1
1671250036.476,789,5,baseline1
1671250037.265,759,5,baseline1
1671250038.024,790,5,baseline1
1671250038.814,815,5,baseline1
1671250039.629,793,5,baseline1
1671250040.422,758,5,baseline1
1671250041.18,786,5,baseline1
1671250041.966,822,5,baseline1
1671250042.788,822,5,baseline1
1671250043.61,769,5,baseline1
1671250044.379,785,5,baseline1
1671250045.164,817,5,baseline1
1671250045.981,849,5,baseline1
1671250046.83,799,5,baseline1
1671250047.629,813,5,baseline1
1671250048.442,844,5,baseline1
1671250049.286,836,5,baseline1
1671250050.122,808,5,baseline1
1671250050.93,833,5,baseline1
1671250051.763,863,5,baseline1
1671250052.626,862,5,baseline1
1671250053.488,805,5,baseline1
1671250054.293,813,5,baseline1
1671250055.106,832,5,baseline1
1671250055.938,846,5,baseline1
1671250056.784,795,5,baseline1
1671250057.579,808,5,baseline1
1671250075.278,673,5,baseline2
1671250075.951,655,5,baseline2
1671250076.606,665,5,baseline2
1671250077.271,688,5,baseline2
1671250077.959,650,5,baseline2
1671250078.609,646,5,baseline2
1671250079.255,666,5,baseline2
1671250079.921,700,5,baseline2
1671250080.621,712,5,baseline2
1671250081.333,714,5,baseline2
1671250082.047,686,5,baseline2
1671250082.733,638,5,baseline2
1671250083.371,644,5,baseline2
1671250084.015,645,5,baseline2
1671250084.66,654,5,baseline2
1671250085.314,661,5,baseline2
1671250085.975,662,5,baseline2
1671250086.637,684,5,baseline2
1671250087.321,675,5,baseline2
1671250087.996,639,5,baseline2
1671250088.635,648,5,baseline2
1671250089.283,667,5,baseline2
1671250089.95,680,5,baseline2
1671250090.63,687,5,baseline2
1671250091.317,696,5,baseline2
1671250092.013,648,5,baseline2
1671250092.661,659,5,baseline2
1671250093.32,673,5,baseline2
1671250093.993,691,5,baseline2
1671250094.684,678,5,baseline2
1671250095.362,680,5,baseline2
1671250096.042,693,5,baseline2
1671250096.735,701,5,baseline2
1671250097.436,679,5,baseline2
1671250098.115,678,5,baseline2
1671250098.793,697,5,baseline2
